model,mape,wmape,smape
Prophet,0.0491181962489111,0.0492576673725721,0.0504237826051439
Naive,0.0112954093823391,0.0114034766093466,0.0113979563207536
SeasonalNaive,0.0129995931471315,0.0130901170863697,0.013101802446339
SeasWA,0.0104694306671713,0.0105250154390461,0.010512909407361
WindowAverage,0.0108795082041949,0.0109771613053744,0.0109682314797983
RWD,0.0103222681104241,0.0104053132494812,0.0103925946984852
HistoricAverage,0.4503595322299855,0.45044571170546,0.5812946404426182
SES,0.15998747889154,0.1601191865126235,0.1739690869496303
SESOpt,0.0113558078776971,0.0114651732418745,0.0114601902841337
SeasonalES,0.5421577993711139,0.5422297368590953,0.7438277799556827
SeasESOpt,0.012714121996623,0.0127875455657946,0.0128003119159031
Holt,0.0102820459149045,0.0103588632759423,0.0103458108695244
HoltWinters,0.0118717916273581,0.0119880915179041,0.0119881293234675
ADIDA,0.0112361388943311,0.0113427489680922,0.0113367109234757
CrostonClassic,0.013118116041103,0.0132476694803244,0.0132615569923359
CrostonOptimized,0.0112361388943311,0.0113427489680922,0.0113367109234757
CrostonSBA,0.0612950706040132,0.061442252449573,0.0633086438021851
IMAPA,0.0112361388943311,0.0113427489680922,0.0113367109234757
TSB,0.0818751713959275,0.0820191264370661,0.0854447227552171
MSTL,0.0181588181301765,0.0182884982880128,0.0183944014081379
DynamicOptimizedTheta,0.0112093587520465,0.0113165328832339,0.0113103172783794
GARCH,1.0137202505232867,1.013858963681687,1.7803246234108752
ARCH,1.0136297232573888,1.0137694409565805,1.7801908557350783
AutoARIMA,0.0120860285582652,0.012206750568446,0.0122089112047884
AutoETS,0.0102820459149045,0.0103588632759423,0.0103458108695244
CES,0.0107544786194174,0.0108529652814951,0.0108431260468127
AutoTheta,0.0112093587520465,0.0113165328832339,0.0113103172783794
SarimaX,0.0124691659928492,0.0125653173032496,0.0125779305817878
LSTM,0.0109979623477501,0.0111007267063377,0.0110927261065018
